Departamento,Municipio,IPS,NIT,Gerente,Caracter,Habilitada,Nivel,Direccion,Telefono,Email,Encargado,Email Encargado,Cargo Encargado
Boyacá,GÜICÁN,E.S.E. HOSPITAL ANDRES GIRARDOT DE GUICAN,891855439,CLAUDIA MARFORY GONZALEZ ARIZA,MUNICIPAL,SI,1,KR 6 6 47,987897228,esehag@gmail.com,,,
Boyacá,IZA,"EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD ""LUIS PATIÑO CAMARGO"" DEL MUNICIPIO DE IZA",826002720,CESAR MAURICIO BARACALDO BARRERA,MUNICIPAL,SI,1,CLL. 3 Nº4-124,3224302427,centrosaludiza@hotmail.com,,,
Boyacá,JENESANO,Emprea Social del Etado Centro de Salud Jenesano,820003337,CLARA MERCEDES ROJAS JAIME,MUNICIPAL,SI,1,AV Los Libertadores CR 2 No 5-11,7363226,ese.jenesanoboyaca@yahoo.es,,,
Boyacá,JERICÓ,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD NUESTRA SEÑORA DE LA NATIVIDAD,826001918,NIDIA ROCIO ROJAS LOPEZ,MUNICIPAL,SI,1,CARRERA 4 No. 2-17,3102449121-3125217267,esejerico@yahoo.es,,,
Boyacá,LA CAPILLA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD LA CANDELARIA DE LA CAPILLA,820003193,CARMEN REINALDA RAMIREZ CARDENAS,MUNICIPAL,SI,1,CALLE 4 No 1 - 68,098-7539188,esecslacandelaria@yahoo.es,,,
Boyacá,LA UVITA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE LA UVITA,826002202,GLORIA YENCY GOMEZ MEDINA,MUNICIPAL,SI,1,calle 7 # 7-18,7 895077,eselauvita@hotmail.com,,,
Boyacá,LABRANZAGRANDE,E.S.E. CENTRO DE SALUD MUNICIPIO DE LABRANZAGRANDE,826002687,SANDRA PATRICIA HURTADO ORDUZ,MUNICIPAL,SI,1,LABRANZAGRANDE SR CENTRO,3143930867,"ese.lagrande@gmail.com;
ese.lagrande.tesoreria@gmail.com",,,
Boyacá,MACANAL,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD MACANAL,820000857,YENNY LILIANA AVILA OLMOS,MUNICIPAL,SI,1,CALLE 4 No. 7 - 24,7590144,censaludmacanal@hotmail.com,,,
Boyacá,MARIPÍ,EMPRESA SOCIAL DEL ESTADO RAFAEL SALGADO DE MARIPI,820003291,AMPARO DEL SOCORRO PUENTES GOMEZ,MUNICIPAL,SI,1,CALLE 5 N° 3 - 27,8021808 - 310 5751908,esemaripi@hotmail.com,,,
Boyacá,MIRAFLORES,HOSPITAL REGIONAL DE MIRAFLORES EMPRESA SOCIAL DEL ESTADO,800152970,SONIA PATRICIA RODRIGUEZ NIÑO,DEPARTAMENTAL,SI,2,CALLE 2 No. 10-14,(098)7331347,hospitalmiraflores@hotmail.com,,,
Boyacá,MONGUA,E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA,826002930,ORLANDO PINTO GUEZGUAN,MUNICIPAL,SI,1,Cra 4 No. 4-33,3203020498,sanjeronimongua@hotmail.com,,,
Boyacá,MONGUÍ,EMPRESA SOCIAL DEL ESTADO HOSPITAL LAS MERCEDES DE MONGUI,826002777,ABEL ANTONIO ALVAREZ ALARCON,MUNICIPAL,SI,1,KR 5 7-00,(098)7782061,eselasmercedes@yahoo.es,,,
Boyacá,MONIQUIRÁ,HOSPITAL REGIONAL DE MONIQUIRA ESE,891800395,GLORIA YANETH MANRIQUE ABRIL,DEPARTAMENTAL,SI,2,CL 19 8 108,87282360,"gerencia@hrm.gov.co;
contactenos@hrm.gov.co",,,
Boyacá,MOTAVITA,EMPRESA SOCIAL DEL ESTADO. CENTRO DE SALUD DE MOTAVITA,820003404,ANGELA XIOMARA HOYOS GOMEZ,MUNICIPAL,SI,1,cra 2 No. 1-87,3115215297,ese@motavita-boyaca.gov.co,,,
Boyacá,MUZO,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA ANA,800254850,LUIS HERNANDO SALAZAR MANRIQUE,MUNICIPAL,SI,1,KR 6 7-80,987256060,esehospitalsantaana@yahoo.com,,,
Boyacá,NOBSA,"EMPRESA SOCIAL DEL ESTADO UNIDAD DE SALUD ""SALUD NOBSA""",826002019,SANDRA YASMILE ALVARADO MARIÑO,MUNICIPAL,SI,1,CL 4 No. 9-51,987773017,saludnobsa@yahoo.com,,,
Boyacá,NUEVO COLÓN,Empresa Social del Estado Centro de Salud Nuevo Colón,820003328,NELSON JOHANN ULLOA CALVO,MUNICIPAL,SI,1,CARRERA 3 No. 2 - 16,7 35 31 22,esenuevocolon@yahoo.com,,,
Boyacá,OICATÁ,EMPRESA SOCIAL DEL ESTADO PUESTO DE SALUD OICATÁ,820003973,MARTHA LUCIA VALDERRAMA BARRERA,MUNICIPAL,SI,1,OICATÁ CENTRO,3175138722,eseoicata@yahoo.com,,,
Boyacá,OTANCHE,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD MANUEL ELKIN PATARROYO,820004318,GREIS ANATILDE ORTIZ TELLEZ,MUNICIPAL,SI,1,CARRERA 5 NUMERO 5-04,7259788,eseotanche@yahoo.es,,,
Boyacá,PACHAVITA,"EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD ""NUESTRA SEÑORA DE GUADALUPE""",820003516,FIDELA MARIA CASTRO BARRIOS,MUNICIPAL,SI,1,KR 2 No 2-51,(098)7592075,esepachavita1@gmail.com,,,
Boyacá,PÁEZ,Empresa Social del Estado Jorge González Olmos,820003915,ANDREA CAROLINA GONZALEZ ALBA,MUNICIPAL,SI,1,Calle 3b Nº 3-63,098-7594274,esepaez@yahoo.com,,,
Boyacá,PAIPA,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE PAIPA,891855209,JOSE RAMON MERCHAN RUIZ,MUNICIPAL,SI,1,CARRERA 20 # 21-37,7850110,hospitalpaipa@yahoo.com,,,
Boyacá,PAUNA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD EDGAR ALONSO PULIDO SOLANO,820002916,IBETH MILENA PARRA CARO,MUNICIPAL,SI,1,CALLE 7 No 3-46,7253208,esepaunaboyaca@gmail.com,,,
Boyacá,PAYA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE PAYA,826002226,YADIRA GUIO AYALA,MUNICIPAL,SI,1,CENTRO,3208468038,esecentrosaludpaya@gmail.com,,,
Boyacá,PAZ DE RÍO,EMPRESA SOCIAL DEL ESTADO SALUD PAZ DE RIO,826002718,YILZEN ANDREA HUERTAS VILLA,MUNICIPAL,SI,1,KR 4 No 7-32 BRR COLONIAL,987865132,esesaludpaz@hotmail.com,,,
Boyacá,PESCA,E.S.E. SALUD PESCA,826002031,SANDRA MILENA BARRERA BOTIA,MUNICIPAL,SI,1,KR1 CL6,987784059,esepesca@gmail.com,,,
Boyacá,PISBA,EMPRESA SOCIAL DEL ESTADO NUESTRA SEÑORA DEL ROSARIO DE PISBA,826002963,DIANA KARINE MARTINEZ ANGEL,MUNICIPAL,SI,1,CENTRO,3134618481- 3214160307,"esedepisbaboyaca2018@gmail.com;
esedepisba2012@hotmail.com",,,
Boyacá,PUERTO BOYACÁ,EMPRESA SOCIAL DEL ESTADO HOSPITAL JOSE CAYETANO VASQUEZ,891800570,CARLOS JULIO ORTEGA OLAYA,DEPARTAMENTAL,SI,2,KR 5 No 26-2 AVENIDA SANTANDER,987384800,hospijcv@yahoo.com,,,
Boyacá,QUÍPAMA,ESE CENTRO DE SALUD NUESTRA SEÑORA DE LA PAZ,820002854,JACQUELINE RINCON CORDOBA,MUNICIPAL,SI,1,CRA 9 # 2-102,310 8840517 310 8840521,esequipama@yahoo.es,,,
Boyacá,RAMIRIQUÍ,ESE HOSPITAL SAN VICENTE DE RAMIRIQUI,891800644,JUAN PABLO ÁLVAREZ NAJAR,MUNICIPAL,SI,1,KR 3 # 7-21,987327546,hospitalramiriqui1907@gmail.com,,,
Boyacá,RÁQUIRA,ESE CENTRO DE SALUD SAN ANTONIO DE LA PARED DE RAQUIRA,820000886,JORGE ORLANDO TOVAR GONZALEZ,MUNICIPAL,SI,1,CALLE 1A NO 5-10,987357280,hospitalraquira@yahoo.es,,,
Boyacá,RONDÓN,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN RAFAEL,820003444,JOSE AGUSTIN TORRES CUERVO,MUNICIPAL,SI,1,KR 4 No 1 - 52,987408611,eserondon@hotmail.com,,,
Boyacá,SABOYÁ,ESE CENTRO DE SALUD SAN VICENTE FERRER,820003431,BETY JULIETH FLORIAN ROJAS,MUNICIPAL,SI,1,CRA 11 5-20,987255100,esesaboyasanvicente@msn.com,,,
Boyacá,SÁCHICA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SACHICA,820004060,NADYA BRIGIIT PIRAQUIVE CUADRADO,MUNICIPAL,SI,1,Kr 3 No 6-05,3167564664,e.s.e.sachica.boy@hotmail.com,,,
Boyacá,SAMACÁ,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA MARTA DE SAMACA,891800335,LUZ ANDREA MORA ROA,MUNICIPAL,SI,1,calle 4ª No. 2-18 Samacá,987372008,esehospitalsamaca@hotmail.com,,,
Boyacá,SAN EDUARDO,ese centro de salud jaime diaz perez,820003906,DENNIS ANDREY ARIAS DOMINGUEZ,MUNICIPAL,SI,1,CALLE 5 5-01,7403065,esejaimediazperez@gmail.com,,,
Boyacá,SAN JOSÉ DE PARE,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN JOSE DE PARE,820003360,WILMAN GIOVANNI VELASCO BARON,MUNICIPAL,SI,1,CARRERA 3 No. 2- 56,7297206,"ctrosaludsjp@hotmail.com;
esesanjosedepareboyaca@gmail.com",,,
Boyacá,SAN LUIS DE GACENO,ESE HOSPITAL SAN FRANCISCO,860060016,RUBY MARYORY CARO ARIAS,DEPARTAMENTAL,SI,1,CALLE 3 Nº 5 - 50,6248025,sanpachosalud@yahoo.com,,,
Boyacá,SAN MIGUEL DE SEMA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN MIGUEL,820003401,GLORIA ANDREA DEL PILAR GARCIA CAMARGO,MUNICIPAL,SI,1,CL 4 3 57,8 -7347088 3112377762,esesanmiguel@hotmail.com,,,
Boyacá,SAN PABLO DE BORBUR,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN PABLO DE BORBUR,820003422,GIOVANNA XIMENA FORERO SANTANA,MUNICIPAL,SI,1,calle 2 No. 1-41,7258142,esesanpablodeborbur@gmail.com,,,
Boyacá,SANTA SOFÍA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SANTA SOFIA,820003284,CLAUDIA PATRICIA CELY ANDRADE,MUNICIPAL,SI,1,CRA 2 #4-88,3114963990,santasofiapyp@outlook.com,,,
Boyacá,SANTANA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SANTANA,820003632,DALMIS GIOVANNI LEON QUITIAN,MUNICIPAL,SI,1,CALLE 1 NUMERO 4-45,87289584,ese.santanaboyaca@hotmail.com,,,
Boyacá,SIACHOQUE,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SIACHOQUE,820003684,HEIDY JOHANA CORREA CARREÑO,MUNICIPAL,SI,1,CRA 5 #2-03,7319093 3112902550,gerenciaesesiachoque@yahoo.es,,,
Boyacá,SOATÁ,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO DE SOATA,891800611,SHEYLA FANORY RINCON CAICEDO,DEPARTAMENTAL,SI,2,KR 7 No. 6-31,0987880193-0987880205,correspondencia@hospisoata.gov.co,,,
Boyacá,SOCHA,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAGRADO CORAZON DE JESUS DE SOCHA,881862576,ILSE CAROLINA SANCHEZ MANRIQUE,MUNICIPAL,SI,1,KR 7 6-68,(57) (098) 7874016,hospitalbases@yahoo.com.ar,,,
Boyacá,SOCOTÁ,ESE CENTRO DE SALUD SAN ANTONIO DE SOCOTÁ,826002060,HERIBERTO BENITEZ BENITEZ,MUNICIPAL,SI,1,CENTRO URBANO,987820100,esesanantoniosocota@hotmail.com,,,
Boyacá,SOGAMOSO,HOSPITAL REGIONAL DE SOGAMOSO EMPRESA SOCIAL DEL ESTADO,891855039,JULIO CESAR PIÑEROS CRUZ,DEPARTAMENTAL,SI,2,CL 8 N° 11 A-43,987726048-987706575,gerencia@hospitalsogamoso.gov.co,,,
Boyacá,SOGAMOSO,SALUD SOGAMOSO EMPRESA SOCIAL DEL ESTADO,826000923,DIANA CATALINA DELGADO JIMENEZ,MUNICIPAL,SI,1,Kra 9 Nº 11 - 74,7720304,saludsogamoso@yahoo.com,,,
Boyacá,SOGAMOSO,Servicio Nacional de Aprendizaje SENA,899999034,CARLOS FABIO ALVAREZ ANGEL,NACIONAL,SI,1,Carrera 12 Nº 55A-51,7721313,mbarrera@sena.edu.co,,,
Boyacá,SOMONDOCO,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN SEBASTIAN DE SOMONDOCO,820002608,DIANA YAZMIN AVILA MARTINEZ,MUNICIPAL,SI,1,CALLE 2 No 4 - 64,7531146 3203021803,saludsomondoco@yahoo.es,,,
Boyacá,SORA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SANTA BARBARA,820003357,ELCY ROCIO MESA SOCHA,MUNICIPAL,SI,1,CR2 N 2-85,3144112843,esesantabarbara@hotmail.com,,,
Boyacá,SORACÁ,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD FE Y ESPERANZA SORACA,820003533,MARICELA GUERRERO TIBATA,MUNICIPAL,SI,1,CALLE 5 Nº 2 - 17,987442949,esesoraca@gmail.com,,,
Boyacá,SOTAQUIRÁ,EMPRESA SOCIAL ESTADO CENTRO DE SALUD MANUEL ALBERTO FONSECA SANDOVAL DE SOTAQUIRA,820003374,LIGIA MARLEN GONZALEZ TORRES,DEPARTAMENTAL,SI,1,Calle 7 No. 3 - 11,7873113,gerenciaesesotaquira@gmail.com,,,
Boyacá,SUSACÓN,E.S.E. CENTRO DE SALUD HECTOR PINEDA GALLO SUSACON,826002625,ALEXANDRA MARIA SUAREZ ALARCON,MUNICIPAL,SI,1,CALLE 6 NRO 5-151,7815012,esesusacon@yahoo.es,,,
Boyacá,SUTAMARCHÁN,E.S.E. Centro De Salud Santo Eccehomo De Sutamarchan,820003876,ANA MARITZA DAVILA BARON,MUNICIPAL,SI,1,Kra. 3 Número 2-02,7251115,ese_eccehomo@yahoo.es,,,
Boyacá,TASCO,EMPRESA SOCIAL DEL ESTADO NUESTRA SEÑORA DEL ROSARIO,826002694,CLAUDIA MARCELA PEREA ESLAVA,MUNICIPAL,SI,1,PARQUE PRINCIPAL,7879110,esetasco@gmail.com,,,
Boyacá,TIBANÁ,ESE GUSTAVO ROMERO HERNADEZ DE TIBANA,820002657,LAURA CONSUELO CAMACHO VALERO,MUNICIPAL,SI,1,Cra 5 No 1 - 79,7338021/ 7338027,esetibana@hotmail.com,,,
Boyacá,TIBASOSA,EMPRESA SOCIAL DEL ESTADO INES OCHOA PEREZ DE TIBASOSA,826002852,FRANCIS LILIANA TOBO SIACHOQUE,MUNICIPAL,SI,1,KR 9 #4-32,(098)7793000,esetibasosa@gmail.com,,,
Boyacá,TINJACÁ,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN BLAS,820003619,ARYENIS BALLESTEROS RODRIGUEZ,MUNICIPAL,SI,1,CL 5 N. 4 70,3185953501,centrodesaludtinjaca@yahoo.es,,,
Boyacá,TIPACOQUE,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SANTA RITA DE CASIA TIPACOQUE,826002765,NELSON ORLANDO MARTINEZ QUINTERO,MUNICIPAL,SI,1,CALLE 2 No. 0 - 01,7889178,esesantaritadecasia@yahoo.es,,,
Boyacá,TOCA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD TOCA,820003524,WEIMAR LEONARDO MURTHE DUARTE,MUNICIPAL,SI,1,CARRERA 10 N 2-99,987368347,centrodesaludtoca@hotmail.com,,,
Boyacá,TOGÜÍ,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE TOGUI,820003435,EDURNE GARZON ARENAS,MUNICIPAL,SI,1,KR 3 Nº 1 - 58,098 7292032,esetogui@gmail.com,,,
Boyacá,TÓPAGA,ESE SAN JUDAS TADEO DE TOPAGA,826002929,DEISY MILENA ALARCON MACANA,MUNICIPAL,SI,1,CALLE 5 No 5-84,3112199109-3102368739,esetopaga@gmail.com,,,
Boyacá,TOTA,ESE CENTRO DE SALUD DE TOTA,826002890,CARMEN LUZ MARTINEZ BARRAZA,MUNICIPAL,SI,1,CRA 3 CALLE 2 ESQUINA,7700945,esecstota@yahoo.com,,,
Boyacá,TUNJA,EMPRESA SOCIAL DEL ESTADO CENTRO DE REHABILITACION INTEGRAL DE BOYACA,891800982,Jairo Mauricio Santoyo Gutierrez,DEPARTAMENTAL,SI,2,KILOMETRO 1 VIA A SORACA,8 7 42 47 33,"info@cribsaludmental.gov.co;
calidad@cribsaludmental.gov.co",,,
Boyacá,TUNJA,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL TUNJA,891800231,LYDA MARCELA PEREZ RAMIREZ,DEPARTAMENTAL,SI,3,CRA 11 N°27-27,7405047,gerente@hospitalsanrafaeltunja.gov.co,,,
Boyacá,TUNJA,EMPRESA SOCIAL DEL ESTADO SANTIAGO DE TUNJA,820003850,JULIANA DEL PILAR CORTAZAR MURILLO,MUNICIPAL,SI,1,CALLE 16 No 9-41,0*87408050 0*87443737,sistemas@esesantiagodetunja.gov.co,,,
Boyacá,TUNJA,INSTITUTO DEPARTAMENTAL DE JUVENTUD Y DEPORTE DE BOYACÁ INDEPORTES BOYACÁ,820000919,FREDY IOVANNY PARDO PINZÓN,DEPARTAMENTAL,SI,1,AV.VILLA OLIMPICA CASA DEL DEPORTE,7422365,www.indeportesboyaca.gov.co,,,
Boyacá,TUNJA,"UNIDAD DE POLITICA SOCIAL, SERVICIOS DE SALUD, PSICOLOGIA Y TRABAJO SOCIAL UPTC",891800330,ALFONSO LOPEZ DIAZ,DEPARTAMENTAL,SI,1,CARRETERA CENTRAL DEL NORTE,3155887426,esperanza.arias@uptc.edu.co,,,
Boyacá,TUNUNGUÁ,ESE CENTRO DE SALUD SANTA BARBARA DE TUNUNGUA,820003839,SANDRA VIVIANA SAMPAYO DIAZ,MUNICIPAL,SI,1,CALLE 2 N.3-31,3108823462,esetunungua2004@yahoo.es,,,
Boyacá,TURMEQUÉ,EMPRESA SOCIAL DEL ESTADO HOSPITAL BAUDILIO ACERO,891800857,ADRIANA XIMENA GALINDO SANDOVAL,DEPARTAMENTAL,SI,1,CL 3 No. 6 - 50,7326182,esebaudilioturmeque@yahoo.com,,,
Boyacá,TUTA,EMPRESA SOCIAL DEL ESTADO PUESTO DE SALUD SAN MIGUEL DE TUTA,820003641,MARIA EUGENIA MONTEJO PAEZ,MUNICIPAL,SI,1,CALLE 6 No. 7 - 07,7351113,sanmigueltuta@hotmail.es,,,
Boyacá,TUTAZÁ,EMPTRESA SOCIAL DEL ESTADO CENTRO DE SALUD SIMON BOLIVAR DE TUTAZA,826002860,LAURA CATALINA REALES SUANCHA,MUNICIPAL,SI,1,ZONA CENTRO,3203111467,esesimonbolivar@hotmail.com,,,
Boyacá,UMBITA,ESE CENTRO DE SALUD SAN RAFAEL,820003782,DALILA ANDREA CELY CRISTANCHO,MUNICIPAL,SI,1,kra 7 # 4-123,3203025398,eseumbita2016@gmail.com,,,
Boyacá,VENTAQUEMADA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE VENTAQUEMADA,820002248,SANDRA PATRICIA MANCIPE GIL,MUNICIPAL,SI,1,CARRERA 5 NRO 2-35,7366002,eseventaquemada08@gmail.com,,,
Boyacá,VILLA DE LEYVA,ESE HOSPITAL SAN FRANCISCO DE VILLA DE LEYVA,891800906,ZULMA ESTUPIÑAN ESTUPIÑAN,MUNICIPAL,SI,1,CL 10 N 7 98,987320516 3212164900,hsanfran@hotmail.com,,,
Boyacá,VIRACACHÁ,E.S.E CENTRO DE SALUD VIRACACHA,820003352,INGRID FERNANDA CEPEDA GOMEZ,MUNICIPAL,SI,1,CL 6 5 16,3107867301 3107868518,eseviracacha@gmail.com,,,
Boyacá,ZETAQUIRA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE ZETAQUIRA,820002715,SONIA ELSY CENDALES ARIAS,MUNICIPAL,SI,1,KR 4 Número 3 - 07,7344035,esezetaquira@hotmail.com,,,
Caldas,AGUADAS,HOSPITAL SAN JOSE DE AGUADAS ESE,890801035,GUILLERMO ALZATE ZULUAGA,MUNICIPAL,SI,1,CARRERA 3 CALLE 16 Y 17,0968-514340 - 514740,gerencia@hospitaldeaguadas.gov.co,,,
Caldas,ANSERMA,ESE HOSPITAL SAN VICENTE DE PAUL,800191101,OLGA LUCIA CORRALES RAMIREZ,MUNICIPAL,SI,1,CRA 5 CLL 1,968531105,hsvpanserma@hotmail.com,,,
Caldas,ARANZAZU,ESE HOSPITAL DEPARTAMENTAL SAN VICENTE DE PAUL,890802218,JHON DIEGO VILLEGAS MARIN,DEPARTAMENTAL,SI,1,Carrera 2 Nro 4 12,68510182,casagra10@latimail.com,,,
Caldas,BELALCÁZAR,ESE HOSPITAL SAN JOSE DE BELALCAZAR,800194627,mauricio sanchez mazo,MUNICIPAL,SI,1,KRA 3 Nº 1-93,0968-601024,hospitalbelalcazar@gmail.com,,,
Caldas,CHINCHINÁ,ESE HOSPITAL SAN MARCOS,890802036,SANDRA LUCIA DIAZ TEJADA,MUNICIPAL,SI,2,Carrera 9 Calles 16 y 17,(096) 8400911,hsanmarcos@hsmarcos.com,,,
Caldas,FILADELFIA,ESE HOSPITAL SAN BERNARDO,890802223,MÓNICA EUGENIA MORALES CARMONA,MUNICIPAL,SI,1,Calle 9 Barrio Santander,8580510,esehospitalsanbernardo@gmail.com,,,
Caldas,LA DORADA,EMPRESA SOCIAL DEL ESTADO E.S.E SALUD DORADA,900065515,RODRIGO ALBERTO FORTICH ABISAMBRA,MUNICIPAL,SI,1,CRA 2 NRO 14-37,8576950 - 3153032130,gerencia@saluddorada.gov.co,,,
Caldas,LA DORADA,ESE HOSPITAL SAN FELIX - LA DORADA,810000913,LUIS EDUARDO CESPEDES DE LOS RIOS,DEPARTAMENTAL,SI,2,CALLE 12 No. 5-20,8571888 - 8398849 - 3152443835 - 3178931388,administracion@hospitalsanfelix.gov.co,,,
Caldas,LA MERCED,ESE HOSPITAL LA MERCED,890805203,MAURICIO ARBELAEZ VARGAS,MUNICIPAL,SI,1,Trv 4 No 7-75,0968 8512390-0968 8512240,eselamerced@gmail.com,,,
Caldas,MANIZALES,ALCALDÍA DE MANIZALES,890801053,JOSÉ OCTAVIO CARDONA LEON,MUNICIPAL,SI,1,calle 19 No 21 - 44,8879700,octavio.cardona@manizales.gov.co,,,
Caldas,MANIZALES,ASSBASALUD ESE,800044967,DANIEL CUERVO SIERRA,MUNICIPAL,SI,1,CALLE 27 NRO. 17-32,8848458,gerencia@assbasalud.gov.co,,,
Caldas,MANIZALES,CENTRO DE RECEPCION DE MENORES,890804256,MARIA ENIDIA RIOS NARANJO,MUNICIPAL,SI,1,carrera 27 No. 17 08,8842218,"secretaria@centroderecepciondemenores.gov.co;
direccion@centroderecepciondemenores.gov.co;
andreavalenciac1@gmail.com",,,
Caldas,MANIZALES,DEFENSA CIVIL COLOMBIANA,899999717,MIGUEL ERNESTO PEREZ GUARNIZO,NACIONAL,SI,1,Calle 12 A No. 14 - 63,8845401,sec.caldas@defensacivil.gov.vo,,,
Caldas,MANIZALES,ESE HOSPITAL DEPARTAMENTAL UNIVERSITARIO SANTA SOFIA DE CALDAS,890801099,WILLIAM ARIAS BETANCURT,DEPARTAMENTAL,SI,3,Kilómetro 2 Salida a Chinchiná,8879200 - 018000413610,santasofia@santasofia.com.co,,,
Caldas,MANIZALES,GOBERNACIÓN DE CALDAS,890801052,GUIDO ECHEVERRI PIEDRAHITA,DEPARTAMENTAL,SI,1,CARRERA 21 CALLES 22 Y 23,8842400 EXTE 441,saludocupacional@gobernaciondecaldas.gov.co,,,
Caldas,MANIZALES,HOSPITAL GENERAL SAN ISIDRO EMPRESA SOCIAL DEL ESTADO,800139366,CESAR AUGUSTO RINCONES SANCHEZ,MUNICIPAL,SI,1,VEREDA LA PALMA,8714236 - 8714239 -3103637670,gerencia@sanisidromanizales.gov.co,,,
Caldas,MANIZALES,INDUSTRIA LICORERA DE CALDAS,890801167,LUIS ROBERTO RIVAS MONTOYA,MUNICIPAL,SI,1,ZONA INDUSTRIAL JUANCHITO MANIZALES,8782200 Extensión 1001,luisroberto.rivas@ilc.com.co,,,
Caldas,MANIZALES,JUNTA DEFENSA CIVIL LA ENEA,810002606,MANUEL ALONSO VALENCIA LEON,NACIONAL,SI,1,CARRERA 36 Nº 97-63,8740212,alonsovalencia2010@hotmail.com,,,
Caldas,MANIZALES,UNIVERSIDAD NACIONAL DE COLOMBIA,899999063,IGNACIO MANTILLA PRADA,MUNICIPAL,SI,1,CARRERA 27 No. 64 - 60 BLOQUE E PISO MENOS UNO,8879300 EXT 50610,shidalgog@unal.edu.co,,,
Caldas,MANZANARES,ESE HOSPITAL SAN ANTONIO DE MANZANARES CALDAS,890801699,GERMAN ARISTIZABAL MORENO,MUNICIPAL,SI,1,CARRERA 5 8-66 MANZANARES CALDAS,0968550014 - 09688550050,gerencia@esehospitalsanantonio.gov.co,,,
Caldas,MARMATO,ESE HOSPITAL DEPARTAMENTAL SAN ANTONIO DE MARMATO,810001392,CRISTIAN ALEJANDRO PARRA ROJAS,DEPARTAMENTAL,SI,1,Carrera 2- diagonal 3 calle 6- Urbanizacion la Betulia - el Llano,0968598010- 0968598090 -8598240 - 3116117702,hospitalmarmato@gmail.com,,,
Caldas,MARQUETALIA,HOSPITAL DEPARTAMENTAL SAN CAYETANO DE MARQUETALIA EMPRESA SOCIAL DEL ESTADO E.S.E,890801274,ANDRES OSWALDO AGUILAR ALZATE,DEPARTAMENTAL,SI,1,CALLE VERSALLES 1 A 01,8567133,hosacama1@yahoo.es,,,
Caldas,MARULANDA,ESE DEPARTAMENTAL HOSPITAL SAN JOSE DE MARULANDA,890805260,OLGA LUCIA LONDOÑO MASSO,DEPARTAMENTAL,SI,1,Carrera 5a. No. 8-56 Marulanda,(0968) 49 86 25,gerenciahospitalmarulanda@gmail.com,,,
Caldas,NEIRA,ESE HOSPITAL DEPARTAMENTAL SAN JOSE DE NEIRA,890801562,FRANCISCO JAVIER GOMEZ CASTAÑO,DEPARTAMENTAL,SI,1,CARRERA 7 Nro: 7-35,0968587610-0968587182,gerencia@esehospitalsanjosedeneira.com,,,
Caldas,NORCASIA,ESE DEPARTAMENTAL HOSPITAL SAGRADO CORAZON,810000912,MARILU HERNANDEZ MENDEZ,DEPARTAMENTAL,SI,1,LA VARIANTE NORCASIA,0968554100-0968554206,HOSPITALNORCASIA@HOTMAIL.COM,,,
Caldas,PÁCORA,E.S.E HOSPITAL SANTA TERESITA DE PACORA,890801517,CAROLINA GIRALDO ARANGO,MUNICIPAL,SI,1,Carrera 2 Nro 2-49,68670193,gerencia@hospitaldepacora.gov.co,,,
Caldas,PENSILVANIA,ESE HOSPITAL LOCAL SAN JUAN DE DIOS,890801719,DIANA MILENA GALLO FRANCO,MUNICIPAL,SI,1,AVENIDA LA SALLE,968555175,gerencia@esehospitalpensilvania.gov.co,,,
